Event_No,Source_File,X_Acc_Raw_PeakFreq1,X_Acc_Raw_PeakPower1,X_Acc_Raw_PeakFreq2,X_Acc_Raw_PeakPower2,X_Acc_Raw_PeakFreq3,X_Acc_Raw_PeakPower3,X_Acc_Raw_SpectralCentroid,X_Acc_Raw_SpectralBandwidth,X_Acc_Raw_SpectralEntropy,X_Acc_Filtered_PeakFreq1,X_Acc_Filtered_PeakPower1,X_Acc_Filtered_PeakFreq2,X_Acc_Filtered_PeakPower2,X_Acc_Filtered_PeakFreq3,X_Acc_Filtered_PeakPower3,X_Acc_Filtered_SpectralCentroid,X_Acc_Filtered_SpectralBandwidth,X_Acc_Filtered_SpectralEntropy,Y_Acc_Raw_PeakFreq1,Y_Acc_Raw_PeakPower1,Y_Acc_Raw_PeakFreq2,Y_Acc_Raw_PeakPower2,Y_Acc_Raw_PeakFreq3,Y_Acc_Raw_PeakPower3,Y_Acc_Raw_SpectralCentroid,Y_Acc_Raw_SpectralBandwidth,Y_Acc_Raw_SpectralEntropy,Y_Acc_Filtered_PeakFreq1,Y_Acc_Filtered_PeakPower1,Y_Acc_Filtered_PeakFreq2,Y_Acc_Filtered_PeakPower2,Y_Acc_Filtered_PeakFreq3,Y_Acc_Filtered_PeakPower3,Y_Acc_Filtered_SpectralCentroid,Y_Acc_Filtered_SpectralBandwidth,Y_Acc_Filtered_SpectralEntropy,Z_Acc_Raw_PeakFreq1,Z_Acc_Raw_PeakPower1,Z_Acc_Raw_PeakFreq2,Z_Acc_Raw_PeakPower2,Z_Acc_Raw_PeakFreq3,Z_Acc_Raw_PeakPower3,Z_Acc_Raw_SpectralCentroid,Z_Acc_Raw_SpectralBandwidth,Z_Acc_Raw_SpectralEntropy,Wave_Raw_RMS,Wave_Raw_Std,Wave_Raw_Skew,Wave_Raw_Kurtosis,Wave_Raw_CrestFactor,Wave_Filtered_RMS,Wave_Filtered_Std,Wave_Filtered_Skew,Wave_Filtered_Kurtosis,Wave_Filtered_CrestFactor,X_Acc_Raw_RMS,X_Acc_Raw_Std,X_Acc_Raw_Skew,X_Acc_Raw_Kurtosis,X_Acc_Raw_CrestFactor,X_Acc_Filtered_RMS,X_Acc_Filtered_Std,X_Acc_Filtered_Skew,X_Acc_Filtered_Kurtosis,X_Acc_Filtered_CrestFactor,Y_Acc_Raw_RMS,Y_Acc_Raw_Std,Y_Acc_Raw_Skew,Y_Acc_Raw_Kurtosis,Y_Acc_Raw_CrestFactor,Y_Acc_Filtered_RMS,Y_Acc_Filtered_Std,Y_Acc_Filtered_Skew,Y_Acc_Filtered_Kurtosis,Y_Acc_Filtered_CrestFactor,Z_Acc_Raw_RMS,Z_Acc_Raw_Std,Z_Acc_Raw_Skew,Z_Acc_Raw_Kurtosis,Z_Acc_Raw_CrestFactor,X_Displacement_RMS,X_Displacement_Std,X_Displacement_Skew,X_Displacement_Kurtosis,X_Displacement_CrestFactor,Y_Displacement_RMS,Y_Displacement_Std,Y_Displacement_Skew,Y_Displacement_Kurtosis,Y_Displacement_CrestFactor,X_Velocity_RMS,X_Velocity_Std,X_Velocity_Skew,X_Velocity_Kurtosis,X_Velocity_CrestFactor,Y_Velocity_RMS,Y_Velocity_Std,Y_Velocity_Skew,Y_Velocity_Kurtosis,Y_Velocity_CrestFactor,Horizontal_Displacement_RMS,Hs (m),Tz (s),Wave_Steepness,Hydro_Interaction,X Frequency,Y Frequency
571,E571_processed,0.205078125,15770.14382,0.244140625,3950.835878,0.302734375,655.9854311,0.240023937,0.096667283,0.410374217,0.205078125,15770.04065,0.244140625,3950.833792,0.302734375,655.9868463,0.239892861,0.094146954,0.410385636,0.205078125,16550.61133,0.302734375,587.5154213,0.673828125,60.41725686,0.229059801,0.074335371,0.382019511,0.205078125,16550.39732,0.302734375,587.514883,0.673828125,60.41726402,0.228975301,0.071951128,0.381963486,0.205078125,1047.16756,0.302734375,36.18393459,0.537109375,34.33890991,0.343108019,0.543158946,0.438447032,21.92203119,0.093518392,-0.039314171,0.090789657,1.016401711,0.092402417,0.092404957,-0.058840557,0.122598106,3.858332988,29.09007542,25.56545215,-0.003197946,-0.177509789,3.425816109,25.64330279,25.64398279,0.016298539,-0.143190557,3.571245789,32.50519429,24.86742756,-0.058857179,0.028350811,3.376672941,24.8764425,24.87713188,-0.054730347,0.025799941,3.70809504,3834.789913,6.232262294,-0.068125619,0.236678998,1.00598833,14.58556824,14.58582682,-0.377951419,3.225725055,8.076420952,13.53880662,13.53917325,0.007515974,-0.240751366,3.423794196,113.8659922,18.6306443,-0.053310332,0.01435252,1.573338349,23.63136291,18.07958065,0.032258314,-0.234641943,3.121300186,19.9011446,0.342502173,2.586043165,0.051214365,4.637196261,0.2130,0.2130
572,E572_processed,0.21484375,8305.061947,0.25390625,3754.091614,0.537109375,152.3293994,0.240139715,0.096396284,0.436326116,0.21484375,8305.012028,0.25390625,3754.075471,0.537109375,152.3293776,0.240021503,0.093774104,0.436261397,0.205078125,7284.408621,0.341796875,219.0968966,0.693359375,39.7810313,0.232862556,0.082337785,0.428362038,0.205078125,7284.294004,0.341796875,219.0975099,0.693359375,39.78104771,0.23276926,0.080077879,0.428324163,0.205078125,482.7470033,0.283203125,50.79679839,0.537109375,14.17075278,0.362620944,0.597231277,0.486344089,7.500624444,7.25599076,4.859491886,30.56315688,9.397605163,1.895995933,1.896048596,-3.420647134,128.7063795,18.43872027,26.14720602,22.19138504,-0.048325216,-0.097620601,3.538815999,22.19789771,22.19851392,-0.046568874,-0.097446622,3.660125428,29.5840399,20.95569375,-0.054741126,0.368319526,3.668278585,20.97886761,20.97941459,-0.046362894,0.357709748,4.164341543,3834.528367,5.076632175,-0.076496217,0.570040411,1.005125593,12.05219335,12.05250579,0.037174431,-0.240634533,3.430324635,11.75253935,11.75277945,0.1017412,0.391321863,4.706032587,21.73101435,15.91029673,0.016512853,-0.400201397,2.988594575,43.06544666,15.27584253,0.008033941,0.007198434,2.153607312,16.83421279,0.342502173,2.586043165,0.051214365,4.025352502,0.2130,0.2130
573,E573_processed,0.205078125,9455.101085,0.234375,6160.935172,0.634765625,134.9332105,0.237055242,0.093174103,0.430310716,0.205078125,9454.988729,0.234375,6160.903269,0.634765625,134.933151,0.236921527,0.090171734,0.43024228,0.205078125,7807.293466,0.25390625,3550.143991,0.37109375,60.30484564,0.231234691,0.080913977,0.424628347,0.205078125,7807.189987,0.25390625,3550.128711,0.37109375,60.30507862,0.231122951,0.078160015,0.424585739,0.205078125,535.2297082,0.615234375,9.519486887,0.576171875,9.308350034,0.360604143,0.601530658,0.483382239,21.88033981,0.092402562,1.578539096,34.85389261,1.109216548,0.091572369,0.091574402,1.393286822,30.89249085,25.48377027,26.78093795,22.94853111,-0.045210189,0.145875499,3.646663056,22.97777344,22.97836906,-0.040439648,0.136008699,3.648970836,29.97568415,21.36433071,-0.056322396,0.147873521,3.611363446,21.37208808,21.37266059,-0.053803041,0.14830762,4.057400059,3834.414128,5.215998941,-0.069869271,0.56874789,1.005621243,12.73813989,12.73844268,-0.010335162,-0.081605836,3.49958749,12.03361137,12.0338512,0.131395572,0.374679116,4.98070343,44.40030404,16.6743338,0.001778715,-0.202586453,2.11499033,42.43461134,15.57660431,0.017377333,-0.12104671,2.174966055,17.52374094,0.333376596,2.810328638,0.042210538,4.011804353,0.2130,0.2130
574,E574_processed,0.244140625,6601.600041,0.21484375,6055.529572,0.64453125,89.5464641,0.242769827,0.101183154,0.446340604,0.244140625,6601.578665,0.21484375,6055.473761,0.64453125,89.54658782,0.242114438,0.086861018,0.446059517,0.205078125,4899.739233,0.244140625,4436.992049,0.68359375,46.91242204,0.235425546,0.081826968,0.437693055,0.205078125,4899.675828,0.244140625,4436.97575,0.68359375,46.91243311,0.235112113,0.073471919,0.437541895,0.205078125,320.8191507,0.283203125,64.75082926,0.56640625,7.540976542,0.441663286,0.812775691,0.522127424,17.10099848,2.480637238,2.132905604,21.83594638,3.841074474,0.693323573,0.693342651,-0.69540029,53.24048949,15.92694117,25.32064274,21.1627632,-0.04831249,0.031497218,3.941901121,21.17176575,21.17234567,-0.045988274,0.026777062,4.044298016,28.68292187,19.28297698,-0.0600541,0.5760186,3.323366198,19.28592499,19.28645366,-0.059032871,0.573059964,3.844840955,3833.838535,4.595895731,-0.063147565,0.888277568,1.005539322,11.41620699,11.4164516,-0.07353641,0.315781855,4.901489504,10.41921563,10.41948382,0.019013132,0.233799912,3.565263166,48.92270731,14.98835215,-0.014624888,-0.236261391,2.11403454,30.08234309,13.80138047,-0.005328524,0.238674349,2.514645917,15.45642294,0.337939385,2.698185902,0.046418924,3.521153951,0.2130,0.2130
575,E575_processed,0.21484375,5846.036972,0.33203125,307.1629014,0.576171875,94.66842017,0.240508128,0.090461764,0.452039522,0.21484375,5845.990803,0.33203125,307.1628545,0.576171875,94.66840332,0.240286942,0.085216461,0.451923387,0.21484375,4395.214044,0.244140625,4306.091399,0.1953125,3342.629757,0.237075514,0.077347631,0.438331467,0.21484375,4395.178619,0.244140625,4306.083152,0.1953125,3342.567185,0.236870121,0.071763643,0.438236533,0.21484375,300.3506693,0.244140625,92.34724721,0.29296875,54.54913795,0.393605856,0.682437744,0.519571312,0.163113042,0.163113042,134.1528981,17995.00006,134.1640786,0.61848133,0.618317434,-22.75893608,669.7644756,35.78066803,24.52302915,20.07638425,-0.048748335,0.097517154,3.89777223,20.07774803,20.0783041,-0.043253586,0.097985938,4.055606466,28.44020569,18.7237101,-0.030588081,0.164372464,3.236379442,18.7881827,18.7886921,-0.052713608,0.225826433,4.194426825,3833.430934,4.345323344,-0.006744742,0.574836215,1.004947596,10.85256701,10.85286737,0.016561257,0.01497144,4.031953221,10.1597743,10.1600555,0.070060503,0.72163426,5.029441121,26.85311909,14.32189385,-0.014956447,-0.163178622,2.680149594,26.04730982,13.55577195,0.07206898,0.546294011,3.802163983,14.86645412,0.337939385,2.698185902,0.046418924,3.433482904,0.2130,0.2130
576,E576_processed,0.1953125,5576.196681,0.244140625,4757.327801,0.615234375,97.01054164,0.241409401,0.094955784,0.454922133,0.1953125,5576.089356,0.244140625,4757.313188,0.615234375,97.01052,0.241250909,0.091383269,0.454830334,0.244140625,5367.158566,0.1953125,5182.864878,0.693359375,47.01381435,0.237039503,0.083481254,0.432826658,0.244140625,5367.184405,0.1953125,5182.824202,0.693359375,47.01388156,0.236887537,0.079820349,0.432780985,0.1953125,315.8867282,0.234375,131.5376155,0.576171875,6.503884473,0.400859179,0.685777348,0.522982145,21.89139672,0.089899753,0.614925282,9.437526243,1.065209511,0.088739893,0.088742314,0.518635644,7.666800221,15.37115103,24.86463452,20.31741561,-0.062954336,0.245444164,3.394943929,20.32221379,20.3227548,-0.044346409,0.250165151,3.645051056,28.83433511,19.18409216,-0.061537239,0.124236028,3.409490062,19.1832437,19.18376711,-0.060791234,0.12859355,4.00636518,3833.082904,4.354897027,-0.0193969,0.465155825,1.004107085,11.05485449,11.05516097,-0.001708004,0.275110883,4.257683664,10.56787948,10.56805427,0.231495933,1.344941858,6.408895302,14.80902289,14.55200697,-0.043294975,0.209722175,4.045988947,36.36678214,13.7271851,-0.014678676,-0.087070381,2.325512794,15.2938012,0.32048956,2.462328767,0.052859349,3.38695106,0.2000,0.2000
577,E577_processed,0.234375,7926.593694,0.29296875,852.0976833,0.673828125,123.2662246,0.237799656,0.092488167,0.431580443,0.234375,7926.566172,0.29296875,852.0967878,0.673828125,123.2661943,0.237694224,0.090054069,0.431519131,0.205078125,4883.309617,0.234375,3423.864192,0.673828125,74.22214002,0.235743666,0.090843309,0.4380409,0.205078125,4883.241429,0.234375,3423.857436,0.673828125,74.22219135,0.235637733,0.088412097,0.437976566,0.205078125,333.7956504,0.29296875,48.69664998,0.576171875,7.895434766,0.395027215,0.665373204,0.512642587,14.67150104,1.538984902,28.23330803,3613.989084,29.35050232,0.557438389,0.55741754,-4.86530026,167.4305489,19.78652852,27.18989858,22.9936259,-0.050740934,0.061621615,3.714045851,22.99014013,22.9907408,-0.04596923,0.05942695,3.75837799,28.88480232,19.15982095,-0.057520137,0.215889866,3.390450587,19.17387101,19.17440141,-0.048326866,0.208826004,3.972903643,3832.467804,4.598519541,-0.007809117,0.345501149,1.004734233,12.67644317,12.67676704,0.058925208,-0.029533299,3.606553297,10.72216053,10.72243602,0.043631908,0.211805123,3.894689444,50.48529588,16.59338345,0.003800107,-0.118739758,2.074237014,40.1059314,13.91352675,0.00190449,-0.018364958,2.123235326,16.60334475,0.332122776,2.619566857,0.048399367,3.56116522,0.2250,0.2000
578,E578_processed,0.234375,6075.52272,0.21484375,6074.603029,0.283203125,673.7420754,0.240318321,0.101917032,0.437712745,0.234375,6075.495621,0.21484375,6074.516025,0.283203125,673.742459,0.240170827,0.098960164,0.437658494,0.234375,4151.054079,0.673828125,58.34075221,0.693359375,50.08940826,0.240150483,0.090067738,0.44607439,0.234375,4150.994298,0.673828125,58.34080789,0.693359375,50.08950063,0.240003239,0.087265056,0.446131632,0.21484375,255.8962564,0.29296875,56.60803161,0.56640625,9.070625446,0.413147533,0.692753425,0.532504875,0.162754675,0.162754675,134.1528981,17995.00006,134.1640786,0.617122497,0.616958961,-22.75893608,669.7644756,35.78066803,25.32091867,20.70854963,-0.035307292,-0.161642087,3.259253705,20.73029413,20.73085534,-0.035200022,-0.164990252,3.33364065,28.97887934,19.00957703,-0.044618539,0.181544707,3.859806608,19.08590968,19.08633034,-0.029881632,0.287264169,4.888607506,3831.964796,4.412557868,0.006163753,0.453225391,1.00626402,11.61026107,11.61054325,-0.045634582,0.589871686,5.447209783,11.29066865,11.29067432,-0.900790763,16.63165609,11.01147178,67.57307666,14.97936222,-0.008477867,-0.318254618,1.682334781,94.33204086,13.78716183,0.145137544,1.936600383,1.895849476,16.19518574,0.332122776,2.619566857,0.048399367,3.749890102,0.2250,0.2250
579,E579_processed,0.205078125,5695.456404,0.234375,5672.323047,0.615234375,109.4291734,0.242962408,0.113063374,0.445628788,0.205078125,5695.384368,0.234375,5672.302981,0.615234375,109.4291736,0.242307972,0.100620246,0.445336769,0.234375,4329.603004,0.205078125,3871.66891,0.283203125,1283.865857,0.242481383,0.090663258,0.447257751,0.234375,4329.587044,0.205078125,3871.616714,0.283203125,1283.865649,0.242153211,0.082836078,0.447091975,0.205078125,274.0038436,0.25390625,82.28958046,0.283203125,49.60372743,0.492337551,0.879847466,0.550774024,21.8912,0.090220353,1.12200685,16.63278233,1.072238845,0.089322191,0.089324655,0.924594915,13.50705155,16.82295257,24.87681457,20.02783197,-0.041832603,0.047068537,3.307806824,20.01646541,20.01701709,-0.042690967,0.05724498,3.381910221,28.62231614,18.18643403,-0.051463223,0.613509103,3.645893627,18.19637042,18.19686947,-0.050586118,0.607092442,4.525403321,3831.80597,4.226983348,3.76E-05,0.733216074,1.004674697,10.96638167,10.96668577,0.0244046,0.068153774,3.966801113,9.421482271,9.421743095,0.014301536,0.420954921,4.132752697,35.50771122,14.34136727,-0.01312309,-0.081019499,2.307386149,12.86137457,12.76827608,-0.001377349,0.320548063,4.059076288,14.45812712,0.326335491,2.577363897,0.049126161,3.074649163,0.2250,0.2000
580,E580_processed,0.224609375,5057.334301,0.3125,548.9458072,0.615234375,88.53482155,0.242179649,0.101864099,0.449035736,0.224609375,5057.342111,0.3125,548.948174,0.615234375,88.53488058,0.241790137,0.093686511,0.448901717,0.244140625,4859.527334,0.205078125,3263.512576,0.283203125,1022.459393,0.24257995,0.087756076,0.445237137,0.244140625,4859.518902,0.205078125,3263.459986,0.283203125,1022.460179,0.242277021,0.080170417,0.445087739,0.205078125,205.6927063,0.283203125,50.22944678,0.556640625,6.31352264,0.452643251,0.787486168,0.553771751,13.63020855,1.13541422,39.49163501,5154.51118,40.28411844,0.499090947,0.499053045,-6.594406066,217.2034673,21.6480376,24.27531311,19.18430992,-0.04021812,-0.070020372,3.398419441,19.22715675,19.22767044,-0.034761306,-0.06887337,3.518280534,28.33215923,17.69603317,-0.055300781,0.448334937,3.624333718,17.70125439,17.7017291,-0.058577622,0.446699893,4.699058048,3831.490409,3.985631107,-0.02924283,0.665859473,1.004291409,10.9232798,10.923492,-0.251275067,2.290927827,7.151121581,9.181690565,9.181911806,0.045195224,0.29605891,4.104670375,75.18283589,13.87231658,-0.055300992,0.030328115,1.658827697,16.44148568,12.42005093,0.021582035,0.2287174,3.852309006,14.26990476,0.330675955,2.609016117,0.048579058,3.036237456,0.2250,0.2000
